City,No_of_Providers,No_of_Receivers
New Jessica,1,1
East Sheena,1,0
Lake Jesusview,1,0
Mendezmouth,1,0
Valentineside,1,0
Shannonside,1,0
Lake Christopherburgh,1,0
Washingtonville,1,0
Tinamouth,1,0
West Cherylfort,1,0
South Robert,1,0
East Williamburgh,1,0
Nicolefort,1,0
Garciamouth,1,0
West Theresaberg,1,0
West Vanessafort,1,0
West Dawn,1,0
Cassandraville,1,0
South Melanieshire,1,0
East Samantha,1,0
Port Corystad,1,0
Port Lisamouth,1,0
Bradleyborough,1,0
Hestermouth,1,0
Anitashire,1,0
West Adammouth,1,0
New Natasha,1,0
Jessestad,1,0
Patrickmouth,1,0
West Pamelaborough,1,0
South Kellyberg,1,0
Jameschester,1,0
Janetborough,1,0
North Garybury,1,0
Andersonmouth,1,0
Cindyshire,1,0
New Amanda,2,0
Perkinsbury,1,0
Brittanyville,1,0
Jennifertown,1,0
Bentleyburgh,1,0
East Nicholasbury,1,0
South Karen,1,0
Jamesville,1,0
East Deniseborough,1,0
South Lisaberg,1,0
East Andrewland,1,0
Timothyview,1,0
Lake Traceyburgh,1,0
West Danielborough,1,0
Rebeccabury,1,0
Port Dianaberg,1,0
Lake Allen,1,0
Lake Rachael,1,0
Danachester,1,0
Michaelview,1,0
Port Robin,1,0
North Kevinhaven,2,0
Marissaville,1,0
Wilsonport,1,0
Lake Joelshire,1,0
Marymouth,1,0
Mcclainfurt,1,0
South Michaelhaven,1,0
Lake Raymondton,1,0
Lake Michaelfurt,1,0
Kentland,1,0
North Elizabeth,1,0
Cummingstown,1,0
Lake Kyle,2,0
Ruizmouth,1,0
Jasonstad,1,0
West Benjamin,1,0
Belindaville,1,0
Rodneystad,1,0
Port Amandamouth,1,0
New Rhonda,1,0
North Susan,1,0
West Danieltown,1,0
Lake Dennischester,1,0
North Michelle,2,1
West Lauraborough,2,0
West Julianburgh,1,0
Marthaside,1,0
Christopherstad,1,0
New Michelle,1,0
West Adam,1,0
Salastown,1,0
New Richard,2,0
Lake Kristentown,1,0
North Ronaldburgh,1,0
East Melissa,2,0
