Provider_Name,Total_Donated
Miller Inc,217
Barry Group,179
"Evans, Wright and Mitchell",158
Smith Group,150
Campbell LLC,145
Nelson LLC,142
Ruiz-Oneal,140
Blankenship-Lewis,124
Kelly-Ware,123
Bradford-Martinez,121
Hampton-Lee,116
Shepherd and Sons,116
"Jones, Ortega and Rubio",115
Ortiz-Lee,114
Johnson-Ray,113
Barker LLC,110
"Hill, Davis and Stewart",106
Moore Group,106
Steele Ltd,104
Butler-Richardson,104
"Lopez, Roach and Roach",102
"Hunter, Ballard and Caldwell",101
Carter-Jones,101
Hogan-Johnston,99
Cox LLC,99
Baker-Mcdonald,99
Wong-Reese,98
Aguilar-Frederick,98
Jackson Ltd,98
Garcia-Hunter,97
"Phillips, Wolfe and Martin",97
Schmidt-Alexander,97
"Clark, Prince and Williams",96
"Jones, Rojas and Brown",96
Brown-Stephens,96
"Rogers, Harmon and Gordon",96
Flores-Wade,96
Carey PLC,95
Lambert Ltd,94
Wilson Group,94
Miller Ltd,93
Doyle LLC,93
"Hudson, Spence and Perez",93
Coleman-Farley,92
"Miller, Johnson and Fernandez",92
Schneider-Suarez,92
"White, Crawford and Pearson",91
Daniels-Kim,90
"Kelly, Cummings and Ward",90
Cooper LLC,90
Rogers-Warren,89
Allen-Mccullough,88
Jones-Miller,88
Davis-Kennedy,88
Mckinney Ltd,88
"Young, Townsend and Mccarthy",87
Torres-Dunlap,87
"Davis, Hughes and Leblanc",87
"Rogers, Robbins and Cook",87
"Glover, Wilson and Hudson",86
"Cooper, Osborn and Clark",86
"Barnes, Castro and Curtis",84
Bowman LLC,83
Rios Group,82
"Smith, Lynch and Anderson",82
"Webb, Phillips and Garcia",81
"Pollard, Collins and Watson",81
Thompson Group,80
"Mcmillan, Gallegos and Perry",80
Cook Group,79
Butler-Phillips,79
Todd Group,79
Maynard LLC,79
Lee PLC,79
Gonzales-Cochran,78
Sanders-Hale,78
Pierce Group,78
"Petersen, Morrison and Woods",78
"Munoz, Stone and Wallace",78
"Wilson, Harris and Mayo",78
Zhang LLC,76
Jones-Edwards,75
Nelson-White,75
Barnes and Sons,75
Rowe-Arias,74
"Montgomery, Dominguez and Hopkins",74
Douglas and Sons,74
"Anderson, Nicholson and Bruce",73
Gonzales-Keith,73
Baird PLC,73
"Oliver, Ross and Johnson",73
Dixon LLC,73
Thompson-Kerr,72
Henry-Terry,72
Crane LLC,71
Jackson-Robinson,70
"Bray, Nguyen and Christensen",70
Porter Inc,69
Smith-Paul,69
"Snyder, Caldwell and Campbell",68
Holland and Sons,68
Carr-Wells,68
Wilkerson-Woods,68
Scott and Sons,68
Owens-Taylor,67
Aguilar Group,66
"Simpson, Mcguire and Brown",66
Smith-Villegas,65
"Roberts, Howard and Bender",65
Cole LLC,65
"Lewis, Preston and Price",65
"Bennett, Phillips and Green",64
"Mitchell, Campbell and Jones",64
Richardson Group,64
"Davila, Green and Avila",64
"Hood, Hoffman and Wright",64
Barrera-Ward,64
Johnson-Mejia,64
Morrison LLC,64
"Davis, Sanchez and Mendez",64
"Cooper, Smith and King",63
"Moore, Perez and Young",63
"Rodriguez, Thomas and Foster",63
Bruce Inc,63
Glass Inc,62
Brown Ltd,62
Long-Alexander,62
Stephens-Braun,62
Baker Group,62
"Phelps, Graham and Hayes",61
Chambers-Waters,60
"Mueller, Savage and Hudson",60
Ayers LLC,60
Smith-Turner,59
Holloway-Koch,59
Caldwell PLC,59
"Austin, Griffin and Ward",59
Wright LLC,59
Hodge-Leblanc,58
Lambert-Wilson,57
Gray PLC,57
Moody Ltd,57
Ramirez LLC,56
"Nguyen, Chan and Brown",56
Rogers-Maldonado,56
Phelps-Schmidt,55
"Martin, Tyler and Wilkerson",55
Meyer and Sons,55
"Gutierrez, Anthony and Shannon",55
"Wilson, Watkins and Moore",55
Rojas-Cook,55
Smith-Morales,55
Hunt-Lee,54
"Nielsen, Johnson and Fuller",53
Williams-Cox,53
Dyer Group,53
Carlson-Mathis,53
"Morales, Wood and Cox",52
"Hanson, Wilkerson and Lee",52
Beck Inc,52
"Reyes, Houston and Esparza",52
Reed LLC,52
Rose-Pearson,51
Small Ltd,51
"Spears, Anderson and Huffman",51
"Rodriguez, Walker and Singleton",50
"Lucas, Bush and Miller",50
"Horn, Johnson and Moore",50
Decker Group,50
"Oliver, Cross and Gilbert",50
Schmidt Ltd,50
"Anderson, Adams and Roberts",50
Nelson Ltd,50
