City,Cancelled_Claims
Greenton,4
Port Dean,4
Edwardburgh,3
Alexatown,3
Carterside,3
Port Ericmouth,3
Thompsonhaven,3
Maryfort,3
North Abigail,3
Port Deborahbury,3
Markfurt,3
East Kevin,3
Lake Mary,2
West Angelatown,2
Port Elizabethton,2
North Paul,2
Lake Amanda,2
Toddborough,2
East John,2
Burnettton,2
North Alexander,2
Melissaport,2
Port Richard,2
Danielborough,2
Murphyfort,2
Perezport,2
Port Dianemouth,2
Port Sara,2
West Richard,2
Huynhmouth,2
Paulaburgh,2
West Mariashire,2
South Nicoleberg,2
Lake Kevinport,2
Lake Catherine,2
West David,2
East Stevenborough,2
East Josephview,2
Brownbury,2
New Loriberg,2
Dawsonberg,2
Port Thomas,2
North Joshua,2
New Steven,2
Lewisburgh,1
South Shaneville,1
West Robert,1
Katherineside,1
Burkeside,1
Susanfurt,1
Spencermouth,1
West Erik,1
Josephview,1
Port Dawntown,1
East Saraport,1
North Sarah,1
Hornemouth,1
Tomburgh,1
Jasonshire,1
New Mary,1
Michaelton,1
North Catherinefurt,1
East William,1
West Jaclyn,1
East Dylan,1
Laurafurt,1
Manningtown,1
North David,1
Kellybury,1
South Veronicaburgh,1
Henryhaven,1
Robertaborough,1
North Matthewhaven,1
West Justin,1
Michaeltown,1
Georgeborough,1
Port Teresa,1
South Franciscoport,1
Deanview,1
New Benjamin,1
Jeffhaven,1
South Jasonberg,1
North Christina,1
Davidmouth,1
Lake Victoriaport,1
Jacobsmouth,1
South Ashley,1
Lisaton,1
South Jill,1
Mcclurestad,1
Amandaville,1
Port Erica,1
Thomaston,1
Smithstad,1
Smithshire,1
Port Melissa,1
Lake Erica,1
New Jason,1
Corybury,1
North Mario,1
Allenmouth,1
North Lindachester,1
West Casey,1
Emilymouth,1
Port Stephen,1
Lake Austinmouth,1
Dantown,1
West Jessica,1
Port Maria,1
Singletonview,1
Rogerburgh,1
Lake Kelli,1
Jenniferberg,1
Christopherland,1
Barnesport,1
Dylanton,1
East Williamborough,1
Longmouth,1
Lake Christychester,1
Lake Stephenport,1
Isaiahtown,1
Shermantown,1
Jamesstad,1
Aguilarstad,1
Marksmouth,1
Millerport,1
New Sarahmouth,1
Melissaview,1
Reidton,1
South Michelleshire,1
Rushfurt,1
Angelamouth,1
West Jeffrey,1
North Nicole,1
Johnland,1
Leeton,1
Lake Ryan,1
Tiffanyport,1
New Brandonton,1
Lake Clinton,1
Gordonstad,1
Sherryhaven,1
Bergerport,1
Clarkhaven,1
Morganville,1
New Natalieland,1
Lake Laurenburgh,1
Chadport,1
Rosaleschester,1
Russellburgh,1
East Melissaport,1
North Margarethaven,1
Port Deborah,1
West Justinberg,1
Heatherhaven,1
Port Dominique,1
Lake Mitchellbury,1
Port Gregory,1
Port Jason,1
Christopherchester,1
South Steven,1
Lake Rachelburgh,1
Proctorville,1
Bradleyland,1
Susanville,1
Huffmouth,1
Ashleyborough,1
Olsonland,1
New Travisland,1
Port Angelafurt,1
Ramirezhaven,1
West Jacquelineland,1
South Michaelfurt,1
Port Michaelport,1
Port Traci,1
Port Kristinechester,1
South Donaldshire,1
Gonzalezstad,1
New Alexismouth,1
South Eric,1
Adamland,1
Ortizmouth,1
Brownville,1
Hallton,1
Roberttown,1
North Raymond,1
North Christopher,1
New Tammyhaven,1
Mcfarlandhaven,1
New Kellytown,1
Andersonland,1
Nguyenview,1
West Danielview,1
Kimberlyview,1
Morenoborough,1
New Daryl,1
North Marcusbury,1
Anthonystad,1
Melaniehaven,1
Robertfurt,1
Josephton,1
Port Timothymouth,1
Fernandezberg,1
Michealstad,1
Kenthaven,1
Lake Daniel,1
Chenview,1
Jeanshire,1
East Sheenahaven,1
West Monica,1
Bruceburgh,1
Sarahside,1
Port Terry,1
Port Amberfurt,1
New Matthewton,1
Victorton,1
Kimberlymouth,1
East Michael,1
Port Samantha,1
Lake Heatherberg,1
South Lindsay,1
New Sean,1
Sandovalmouth,1
Cookhaven,1
New Jesus,1
Diazbury,1
Melissaberg,1
East Janetstad,1
Brownport,1
Zacharyview,1
North Andresport,1
Theresabury,1
Maryside,1
Davisport,1
Cruzland,1
Ginaview,1
West Josephland,1
Lauratown,1
South Lisa,1
North Kelly,1
South Mirandamouth,1
Amandaburgh,1
New Laura,1
Bradfurt,1
New Larryshire,1
Poolebury,1
Billyland,1
South Craigborough,1
Natalieside,1
East Shirley,1
Jamesview,1
North Ricardo,1
North Josephmouth,1
Allenborough,1
Fernandezchester,1
West Sara,1
Jarvisshire,1
Franklinview,1
Payneland,1
West Davidview,1
East Sheriton,1
Gloriaview,1
West Paulfort,1
Riverafort,1
Lake Brandonborough,1
New Jessicabury,1
New Melindashire,1
East Debramouth,1
North Lydiaberg,1
Delacruzborough,1
Johnhaven,1
Port Cindyberg,1
Mariefurt,1
Patrickfort,1
South Paul,1
Port Kellifort,1
Lanechester,1
Lake Jeffery,1
