Provider_Name,Successful_Claims
Barry Group,5
"Harper, Blake and Alexander",4
"Barnes, Castro and Curtis",4
Butler-Richardson,4
Miller Inc,4
Campbell LLC,3
Bradford-Martinez,3
Nelson LLC,3
Rogers-Warren,3
Beck Inc,3
Moore-Flowers,3
Hancock-Jackson,3
Davis and Sons,3
Mckinney Ltd,3
Fernandez-Bridges,2
"Fisher, Hernandez and Webster",2
Wilson-Brown,2
"Mitchell, Campbell and Jones",2
Lambert-Wilson,2
Carey-Richardson,2
Atkins Group,2
"Young, Townsend and Mccarthy",2
Jackson LLC,2
Figueroa-Soto,2
Baker LLC,2
Dyer Group,2
"Jones, Rojas and Brown",2
Smith-Turner,2
"Hunter, Ballard and Caldwell",2
Bowman LLC,2
Graham-Peters,2
Richardson Group,2
Morse-Hoffman,2
Jackson-Robinson,2
"White, Crawford and Pearson",2
Blair LLC,2
Harrison-Wilson,2
Shields-Moore,2
Jenkins-Carpenter,2
Douglas-Colon,2
"Davila, Green and Avila",2
Ibarra LLC,2
"Barry, Powers and White",2
Smith Inc,2
"Hood, Hoffman and Wright",2
Berry-Mack,2
Rowe-Arias,2
Steele Ltd,2
"Davis, Bowen and Miller",2
"Gutierrez, Anthony and Shannon",2
"Raymond, Kelly and Yates",2
"Hill, Davis and Stewart",2
"Phelps, Graham and Hayes",2
"Holland, Caldwell and Oliver",2
Jackson Ltd,2
"Jones, Calderon and Finley",2
Owens-Johnson,2
Carroll-Stanley,2
"Perry, Perez and Carter",2
"Obrien, King and Robinson",2
Ramos Group,2
Koch Inc,2
Barnes and Sons,2
Bruce Inc,2
Holmes-Schaefer,2
Flores-Wade,2
Wright LLC,2
"Jones, Allison and Ellison",2
Taylor Group,2
Gamble-Davis,2
Jones PLC,2
"Clark, Prince and Williams",1
Ortiz-Lee,1
Nguyen Inc,1
Miller-Carter,1
"Black, Collins and Richard",1
Hansen Inc,1
Nguyen-Parsons,1
Kelly-Ware,1
"Butler, Kennedy and Cowan",1
Wong-Reese,1
Conway-Barr,1
Perez-Williams,1
"Martin, Tyler and Wilkerson",1
"Warner, White and Morris",1
"Fuller, Vincent and Fernandez",1
Jones-Edwards,1
Clark-Estes,1
Chambers-Waters,1
"Webb, Graves and Harrison",1
"Anderson, Nicholson and Bruce",1
"Morales, Wood and Cox",1
Burns-Davis,1
"Allen, Zimmerman and Harrington",1
Hicks Ltd,1
Johnson-Ray,1
"Myers, Kelley and Riley",1
Hampton-Lee,1
Shepherd Group,1
Yu-Rodriguez,1
Thompson-Turner,1
Hines-Green,1
Allen-Mccullough,1
"Black, Montgomery and Hernandez",1
Grant-Davis,1
"Chung, Morris and Craig",1
Lyons Inc,1
Yoder-Murray,1
"Miller, Johnson and Fernandez",1
Jones-Miller,1
"Anderson, Robinson and Phillips",1
Simmons Ltd,1
Hodges and Sons,1
Gutierrez LLC,1
"Simpson, Thomas and Smith",1
Marshall Ltd,1
Chan-Elliott,1
Williams and Sons,1
Carter-Jones,1
Simmons-Mcdaniel,1
Sherman-Garza,1
Hammond LLC,1
Hodge-Leblanc,1
Sanchez-Fisher,1
"Webb, Phillips and Garcia",1
"Patterson, Harris and Kelly",1
"Evans, Wright and Mitchell",1
Doyle LLC,1
Williams-Boyle,1
Cox LLC,1
"Newman, Pearson and Mccarthy",1
"Phillips, Wolfe and Martin",1
Espinoza PLC,1
Carey PLC,1
Henry-Terry,1
Avila Group,1
"Pollard, Yoder and Martin",1
Rivera Ltd,1
Hunt-Lee,1
Lambert Ltd,1
Chase-Gross,1
Schmidt Ltd,1
"Mills, Smith and Martin",1
Ayala LLC,1
"Hanson, Wilkerson and Lee",1
Serrano-Lopez,1
"King, Schneider and Banks",1
"Roberson, Marquez and Mcdowell",1
Moore LLC,1
Simmons PLC,1
Carey-Ramos,1
"Wilson, Watkins and Moore",1
Gonzalez Inc,1
Henderson Group,1
Bates-Johnson,1
Baker-Mcdonald,1
Wilkerson-Woods,1
"Jones, Ortega and Rubio",1
Blankenship-Lewis,1
Small Ltd,1
"Sutton, Day and Brooks",1
"Goodwin, Acosta and Chan",1
Mitchell PLC,1
Roy-Hancock,1
Porter Inc,1
"Smith, James and Alvarado",1
Johnson-Green,1
Lewis-Deleon,1
"Walter, Gonzales and Potter",1
"Schwartz, Holland and Mccarthy",1
"Young, Moran and Morris",1
Daniels-Kim,1
Shaw Group,1
Townsend Inc,1
Wilkerson and Sons,1
Warren Group,1
Knox and Sons,1
Cole LLC,1
"Freeman, Decker and Johnson",1
Torres-Dunlap,1
"Kelly, Cummings and Ward",1
"Hopkins, Mora and Green",1
Whitney-Fields,1
"Oliver, Ross and Johnson",1
Hayes Inc,1
Pugh Group,1
Carpenter-Wright,1
Caldwell PLC,1
Ortega-Webb,1
Osborne LLC,1
Scott and Sons,1
"Rocha, Johnson and Dunlap",1
Salazar PLC,1
"Rodriguez, Thomas and Foster",1
Webster and Sons,1
Pierce Group,1
"Peterson, Lee and Moore",1
Payne Inc,1
Young-Luna,1
"Nguyen, Chan and Brown",1
Arroyo-Henderson,1
Frederick LLC,1
"Abbott, Brooks and Moreno",1
Simmons Group,1
Wong-Wilson,1
Parker Group,1
Blanchard-Parsons,1
Maynard LLC,1
Cooper LLC,1
"Wolfe, Hull and Richardson",1
Simmons-Davis,1
"Coleman, Williams and Nichols",1
Rollins-Mclaughlin,1
Williams Inc,1
"Austin, Griffin and Ward",1
Hall-Barnett,1
"Scott, Lopez and Baldwin",1
Figueroa Inc,1
Gallagher-Brown,1
"Pollard, Collins and Watson",1
Brown and Sons,1
"Cooper, Osborn and Clark",1
"Petersen, Morrison and Woods",1
Obrien-Carr,1
Jones-Patterson,1
"Spears, Anderson and Huffman",1
"Simpson, Mcguire and Brown",1
Galvan Ltd,1
"Galloway, Hall and Oconnell",1
Smith-Morales,1
Alexander PLC,1
"Hudson, Spence and Perez",1
Rodriguez Inc,1
Phillips-Bradley,1
Frazier-Sanders,1
House-Bates,1
"Hodge, Lee and Washington",1
"Harris, Mcdonald and Taylor",1
Patel Ltd,1
Stanley PLC,1
Johnson PLC,1
Oconnor Ltd,1
"Lewis, Preston and Price",1
"Munoz, Stone and Wallace",1
Frey PLC,1
Moore Group,1
Novak Group,1
Moody Ltd,1
